Id,Block,Area,WellName,X,Y,Horizon,SandName,TopSand,BaseSand,DataSource,DataSourceMDT,Netpay,Porosity,Sw,Egi,P,T,C1,C2,C3,iC4,nC4,iC5,nC5,C6,C7,C8+,CO2,N2,Total,GHV
118,52,AQ,AQ-5X,255898.846,925661.1167,I,I_85,-8839.5,-8845.6,MLC,MLC,3,14.6,42.7,180.4,4050.9,166.3,77.8,1.5,0.1,0,0,0,0,0,0,0,19,1.6,100,817
119,52,AQ,AQ-5X,255898.846,925661.1167,I,I_94,-9034.2,-9054.1,MLC,MLC,16.1,18.1,24.8,182.4,4045.3,169,66.1,1.2,0.5,0,0.1,0,0,0,0,0,30.4,1.6,100,705
120,52,AQ,AQ-5X,255898.846,925661.1167,I,I_97,-9082.4,-9136.4,MLC,MLC,51.3,15.2,46.7,183.1,4044,169.7,63.7,1.3,0,0,0,0,0,0,0,0,33.3,1.7,100,668
121,52,AQ,AQ-5X,255898.846,925661.1167,I,I_99,-9142.9,-9150.6,MLC,MLC,4.2,13.3,67,184,4042.2,170.6,60.1,1.3,0.1,0,0,0,0,0,0,0,36.8,1.7,100,632
122,52,AQ,AQ-5X,255898.846,925661.1167,J,J_9,-9234.8,-9322.5,MDT,SRFT-1,78.8,20,24.4,186.3,4038.9,171.9,54.8,1.3,0.2,0.1,0,0,0,0.1,0,0,41.9,1.5,100,593
123,52,AQ,AQ-5X,255898.846,925661.1167,J,J_23,-9357,-9420.1,MLC,MLC,25,16.7,50.9,188.8,4036.1,173.6,47.7,1.1,0.2,0,0,0,0,0,0,0,49.5,1.5,100,508
124,52,AQ,AQ-6X,251557.6881,926101.8909,F,F_23,-5228.9,-5231.4,MLC,MLC,2.4,19.9,54.9,131.3,2317,114,80.1,4.2,3.8,1,3.6,0.3,0.4,0,0,0,3.9,2.6,100.01,1158
125,52,AQ,AQ-6X,251557.6881,926101.8909,F,F_48.5,-5618.7,-5623.5,MLC,MLC,3.9,18.3,44.9,143.1,2526,120,69.2,5.6,4.4,1.1,4.2,0.6,0.5,0,0,0,11.3,3.2,99.99,1123
126,52,AQ,AQ-6X,251557.6881,926101.8909,F,F_49.5,-5634.5,-5639.6,MLC,MLC,4.9,17.7,60.2,139.5,2537,121,73.7,4.9,2.7,0.3,3.7,0,0.1,0,0,0,11.5,3.2,100,1030
127,52,AQ,AQ-6X,251557.6881,926101.8909,F,F_55,-5717.7,-5723.4,MLC,MLC,5.4,18.8,60.3,142.6,2580,121,72.4,3.5,3.2,0.8,3.3,0.2,0.2,0,0,0,13.1,3.3,99.99,1023
128,52,AQ,AQ-6X,251557.6881,926101.8909,F,F_57,-5747.6,-5752.1,MLC,MLC,2.9,19.7,65.2,143.7,2598,121,71.8,3.5,3.2,0.8,3.3,0.2,0.2,0,0,0,13.7,3.4,100,1016
129,52,AQ,AQ-6X,251557.6881,926101.8909,F,F_61,-5805.8,-5811.8,MLC,MLC,5.4,17.8,56.7,144,2606,122,70.3,3.6,3.2,0.8,3.3,0.3,0.3,0,0,0,14.8,3.5,100.01,1009
130,52,AQ,AQ-6X,251557.6881,926101.8909,F,F_65,-5871,-5882.2,MDT,RDT,11.2,20.2,47,143.4,2634,124,66.8,8.3,3.8,0.5,0.5,0.1,0.1,0,0,0,16.4,3.4,100,960
131,52,AQ,AQ-6X,251557.6881,926101.8909,F,F_78,-6068.7,-6118.4,MDT,RDT,49.5,23.7,25.3,150.4,2739,126,66.2,7,4.2,0.8,0.9,0.3,0.2,0.2,0.1,0,15.3,4.8,100,990
132,52,AQ,AQ-6X,251557.6881,926101.8909,H,H_3,-6458.2,-6460.3,MLC,MLC,1.5,17.4,50.3,153,2870,131,70.6,4,4.2,1.4,3.5,0.5,0.6,0,0,0,9.9,5.2,100,1097
133,52,AQ,AQ-6X,251557.6881,926101.8909,H,H_4,-6472.4,-6474.4,MLC,MLC,2,18.3,56.4,150.2,2875,132,75,2.6,2.5,1,3.4,0.3,0.3,0,0,0,9.7,5.2,100,1035
134,52,AQ,AQ-6X,251557.6881,926101.8909,H,H_14,-6638.2,-6640.9,MLC,MLC,2.9,21.6,43.5,151.3,2953,135,78.4,2.4,2.1,0.9,3.4,0.2,0.2,0,0,0,7.3,5.3,100.01,1040
135,52,AQ,AQ-6X,251557.6881,926101.8909,H,H_15,-6648.5,-6694.9,MDT,RDT,10.8,18.1,56.6,151,2953,135,79.6,4.1,2.7,1.1,0.4,0.2,0.1,0.1,0,0,6.5,5.3,100,1006
136,52,AQ,AQ-6X,251557.6881,926101.8909,H,H_63,-7395.4,-7413.4,MDT,RDT,17.6,18.4,50.5,172.3,3533,145,77.5,4.3,2.5,0.7,0.4,0.2,0.1,0.2,0.1,0,9.4,4.7,100,983
137,52,AQ,AQ-7X,250988.3066,907045.3877,F,F_36,-5898,-5905.4,MLC,MLC,3.5,15.4,53.2,142.6,2640,130,72.1,9.6,6.3,1.6,1.5,0.6,0.3,0,0,0,5.7,2.3,100,1195
138,52,AQ,AQ-7X,250988.3066,907045.3877,F,F_56,-6204.3,-6209.1,MLC,MLC,2.5,15.6,48.7,157,2878,134,66.4,7.4,9.1,3,2.2,1.1,0.6,0,0,0,7.5,2.7,100,1269
139,52,AQ,AQ-7X,250988.3066,907045.3877,F,F_58,-6230.7,-6237.1,TST,TST-5,5.6,18.8,44,155.2,2881,135,71.8,7.4,6.5,1.7,1.3,0.5,0.3,0.2,0.1,0,7.2,3.1,100,1165
140,52,AQ,AQ-7X,250988.3066,907045.3877,F,F_59,-6249.6,-6253.8,MLC,MLC,2.8,19.9,32.2,157.8,2882,135,63.3,8.4,10.2,2.8,2.6,1,0.6,0,0,0,7.8,3.2,100,1288
141,52,AQ,AQ-7X,250988.3066,907045.3877,F,F_60,-6263.1,-6277.9,MDT,RDT,13.6,19.9,39.9,154.2,2884,136,73.8,7.5,5.6,1.1,1,0.3,0.2,0.2,0.1,0.1,7,3.1,100,1130
142,52,AQ,AQ-7X,250988.3066,907045.3877,F,F_61,-6280.2,-6297.8,TST,TST-4,16.4,17.6,52.6,154.3,2886,136,69,8.5,7.2,1.6,1.5,0.5,0.3,0.4,0.2,0,7.1,3.5,100,1197
143,52,AQ,AQ-7X,250988.3066,907045.3877,F,F_78,-6541.1,-6558.8,TST,TST-3,11.7,17.7,41.7,155.2,3048,143,66.9,10.1,7,1.2,1.5,0.4,0.3,0.2,0.1,0,10.4,1.9,100,1164
144,52,AQ,AQ-7X,250988.3066,907045.3877,H,H_3,-6921,-6923.6,MLC,MLC,1.7,13,41,173.7,3476,145,68.8,7.3,5.5,1.1,1.4,0.5,0.4,0,0,0,12.3,2.8,100,1079
